Plate,Group,Treatment,Day,Location,Well ID,Sample ID,Standard,sCD40L,hEGF,hEotaxin,hFGF-2,hFLT-3L,hFractalkine,hG-CSF,hGM-CSF,hGROa,hIFNa2,hIFNy,hIL-1a,hIL-1b,hIL-1RA,hIL-2,hIL-3,hIL-4,hIL-5,hIL-6,hIL-7,hIL-8,hIL-9,hIL-10,hIL-12(p40),hIL-12(p70),hIL-13,hIL-15,hIL-17A,hIL-17E/IL-25,hIL-17F,hIL-18,hIL-22,hIL-27,hIP-10,hMCP-1,hMCP-3,hM-CSF,hMDC,hMIG/CXCL9,hMIP-1a,hMIP-1b,hPDGF-AA,hPDGF-AB/BB,hRANTES,hTGFa,hTNFa,hTNFb,hVEGF-A
Plate 1,mgh3_msc_33,Dual,33,O4,134,,Standard Curve Group 1,-,25.71685,2.187882,431.4292,2.495877,-,26.45673,126.7042,1.123151,10.78455,5.041068,3.419036,4.928229,-,1.933715,6.474276,2.880017,1.064421,2.313222,5.286894,0.238374,11.0636,5.845683,-,22.2147,-,25.89898,11.75662,261.3056,31.63064,2.499852,74.93257,373.5153,21.18444,29.10064,60.26363,-,1.416283,-,-,-,16.05974,925.0664,1.171433,5.066141,6.651442,15.02242,30.07964
Plate 1,mgh3_msc_33,Dual,33,O5,135,,Standard Curve Group 1,-,19.42349,8.290513,402.5063,0.971905,-,27.39667,165.185,2.171543,13.34575,6.100028,4.488399,8.19263,-,1.712572,3.207034,2.3181,0.593556,2.097066,12.83655,0.397273,-,5.78556,20.23,14.21542,-,20.58476,7.752315,183.2316,23.37583,2.190877,71.12609,485.3871,13.98893,29.20874,46.05526,-,1.699357,-,-,-,15.54011,1043.108,1.615124,2.80874,6.294041,12.71784,28.01678
Plate 1,mgh3_msc_33,Dual,33,O6,136,,Standard Curve Group 1,219.5956,23.96493,5.92371,311.3853,2.250369,-,23.41769,98.41349,1.614057,5.929499,5.127197,3.003636,5.570158,3.062871,1.786113,2.839881,2.55906,-,1.92411,5.783621,0.429301,-,-,-,-,18.61738,17.03061,11.48823,188.6258,-,-,72.05603,413.5654,13.75014,28.43162,34.18467,-,1.044521,-,-,-,17.07434,929.9964,1.36568,3.632192,5.466756,9.030678,25.59069
Plate 1,mgh3_dual_03,Dual,3,I1,59,,Standard Curve Group 1,182.7434,24.32772,13.34469,416.5203,3.144673,51.41094,26.03978,208.1196,1.311634,13.59651,7.317441,4.336079,8.283646,9.725081,2.733045,6.438549,4.360405,-,4.145761,12.80712,0.458651,-,10.10435,-,19.16783,-,19.87265,17.74748,253.9132,-,1.955165,73.06724,531.4094,17.45891,30.30152,55.7346,-,1.33427,-,-,-,11.18693,1047.984,2.004565,5.802541,7.147623,10.96343,25.96741
Plate 1,mgh3_dual_03,Dual,3,I2,60,,Standard Curve Group 1,151.8317,25.55237,10.17548,344.7073,3.040425,-,27.38038,19.00329,1.648031,9.68666,8.301274,3.958038,6.883664,3.027536,2.727082,2.510608,3.335415,0.877051,9.668067,1.254499,0.859481,-,9.404505,11.94221,-,-,19.81033,17.65548,325.7727,20.96896,-,64.72045,449.1725,15.10496,32.45209,49.29773,-,1.226799,-,-,-,16.85141,979.9814,1.489631,4.990786,8.491866,12.1082,25.96316
Plate 1,mgh3_dual_03,Dual,3,I3,61,,Standard Curve Group 1,225.5032,21.17454,10.10379,411.7581,3.124832,-,25.00564,212.2213,1.133941,12.01448,6.56931,4.083398,8.965408,4.713425,2.751146,5.369579,3.086846,0.462465,3.93091,10.21946,0.410476,-,6.456056,-,13.3933,-,20.06872,15.8225,280.223,27.40655,2.169145,74.31974,536.6625,16.42824,30.93794,47.97948,-,1.425118,-,-,-,19.4473,1051.896,1.740533,4.777605,7.468808,13.78081,30.61642
Plate 1,mgh3_dual_06,Dual,6,I7,65,,Standard Curve Group 1,114.0102,16.43042,7.406521,356.8154,2.159977,-,22.76778,53.57546,1.424782,7.680207,6.212168,4.332881,5.181216,3.447281,2.07205,1.435252,2.774858,0.40797,2.437873,2.113227,0.255527,-,5.182168,-,13.6681,-,18.65706,12.59748,209.9931,20.40538,-,58.47892,509.7219,14.9819,30.26306,44.24467,-,0.91483,-,-,-,12.2699,943.226,1.274805,3.643111,5.570356,11.05629,26.90723
Plate 1,mgh3_dual_06,Dual,6,I8,66,,Standard Curve Group 1,165.1645,15.18601,7.224313,326.9229,2.137119,53.39182,16.71971,23.88149,1.460746,9.466988,5.284498,109.6335,3.679149,125.5428,1.739517,0.939728,2.619496,-,5.381854,0.964536,0.571593,-,5.86086,-,12.75135,-,20.45854,13.93836,178.9124,20.45268,2.837464,46.95502,428.3257,11.4472,30.64471,34.71224,-,6.506959,-,-,-,12.42629,884.3664,1.329649,3.170052,5.16851,11.15833,20.93305
Plate 1,mgh3_dual_06,Dual,6,I9,67,,Standard Curve Group 1,149.8784,15.0068,9.661737,337.1038,2.103133,-,15.57034,24.85585,1.453441,10.23456,4.939944,2.385041,4.438882,-,1.480869,0.401363,1.885527,0.372471,1.787561,0.470924,0.2238,-,-,-,-,-,19.01218,11.06551,190.5116,-,-,47.07217,408.6478,12.71303,26.69513,33.79158,-,0.721295,-,-,-,12.51752,794.8216,1.137542,3.040629,3.391838,7.894709,22.56345
Plate 1,mgh3_dual_08,Dual,8,J1,71,,Standard Curve Group 1,284.9872,22.5936,15.77386,378.3185,3.26099,78.66999,41.49258,41.68082,2.025088,13.31078,8.140818,5.052286,6.506065,4.741096,2.699625,16.3808,4.09525,0.479494,3.364461,4.734931,0.396341,-,12.94388,16.22679,-,-,21.04187,15.40779,230.3558,23.65257,-,96.31847,526.5522,19.78879,33.62797,54.8916,-,1.158943,-,-,-,13.00418,1053.513,2.068281,5.036013,13.81658,16.1181,29.22166
Plate 1,mgh3_dual_08,Dual,8,J2,72,,Standard Curve Group 1,159.9094,21.68373,9.802927,369.2298,3.2053,59.2078,20.27787,96.9614,-,18.92038,8.34257,5.094303,7.284458,5.709624,2.52575,7.439979,3.495351,-,2.937527,6.55568,0.193758,12.13902,6.157963,-,-,-,19.16256,16.13337,248.2495,18.67367,2.398555,77.40743,587.1638,16.25027,31.88699,54.8586,-,1.205606,-,-,-,16.59173,1062.058,1.166569,5.09814,6.874366,15.80649,18.42872
Plate 1,mgh3_dual_08,Dual,8,J3,73,,Standard Curve Group 1,198.4006,21.84548,10.33161,354.7286,2.865371,76.39802,30.47398,385.321,1.669666,12.3931,8.355505,3.872654,8.047738,3.384978,2.955156,8.941687,2.819901,0.793349,2.359961,26.24839,0.184218,-,9.503637,11.73041,17.32045,16.70651,19.66661,13.84091,236.8232,26.72937,-,85.89637,570.0788,15.94579,29.2399,54.73824,-,1.483279,-,-,-,17.86374,1099.42,1.561806,4.358188,8.395199,12.15241,22.63858
Plate 1,mgh3_dual_10,Dual,10,J7,77,,Standard Curve Group 1,171.3647,20.00444,10.24923,362.2642,2.638014,59.32697,27.57341,141.6876,1.201317,12.52628,5.658052,2.844949,6.346794,2.782052,2.147004,7.349221,3.374239,0.739919,2.165593,17.09124,0.233272,-,7.933666,-,-,-,21.09532,14.06632,163.1321,22.92759,1.875915,86.97546,484.7562,16.82704,29.705,43.99235,-,1.303345,-,-,-,13.35733,1070.135,1.438888,4.417132,8.722991,13.3226,27.0061
Plate 1,mgh3_dual_10,Dual,10,J8,78,,Standard Curve Group 1,136.7518,16.43485,7.558865,361.9897,2.217491,-,21.57087,152.1784,1.359114,7.351282,5.456213,7.147379,4.872338,2.932033,1.565553,2.74283,1.977087,-,1.822043,9.657384,0.227463,-,5.768883,-,-,-,18.63218,11.12506,154.4826,18.90137,-,59.0559,400.2868,13.01625,26.4788,35.90759,-,0.989323,-,-,-,13.75791,851.9534,1.184968,3.170648,4.064535,10.0914,16.73147
Plate 1,mgh3_dual_10,Dual,10,J9,79,,Standard Curve Group 1,150.8171,16.80495,6.614168,329.8383,1.962204,-,20.90972,207.4152,0.873188,7.525786,4.811514,2.314955,5.513448,2.846787,2.043783,5.797713,2.193312,-,1.772561,17.33664,0.203682,-,5.643927,-,-,-,18.7119,11.26681,148.2774,19.51047,-,66.27989,352.9376,12.89638,26.35373,40.34684,-,1.000669,-,-,-,7.911936,806.8887,0.907527,2.797466,7.944608,9.110788,-
Plate 1,mgh3_dual_14,Dual,14,K1,83,,Standard Curve Group 1,241.2973,26.97688,11.30926,391.1656,3.496906,52.90603,50.81381,145.3224,2.498048,11.16813,8.358942,4.965633,9.137732,7.142598,4.029613,17.99099,3.550615,0.669117,3.419063,11.63761,0.61872,10.92347,10.87767,-,20.2494,-,22.19232,17.06172,305.4755,33.6809,2.255844,98.76143,648.8702,26.44015,33.36868,58.53397,-,1.339016,-,-,-,19.33383,1134.321,2.362506,7.862181,7.378231,12.27994,33.0998
Plate 1,mgh3_dual_14,Dual,14,K2,84,,Standard Curve Group 1,189.4317,24.62406,12.1235,373.1455,3.11838,51.00802,41.97294,86.2044,1.274232,16.69083,6.461478,3.945357,5.208062,3.898014,2.747122,8.047276,2.459722,0.678091,3.126953,9.269,0.278413,-,6.04294,12.69963,15.15484,18.92363,23.00981,12.21392,293.4504,28.26106,-,81.22332,504.5477,14.52672,33.19307,44.05664,-,1.070987,-,-,-,18.04746,1044.119,1.089107,3.523447,5.041218,17.03507,19.80679
Plate 1,mgh3_dual_14,Dual,14,K3,85,,Standard Curve Group 1,205.3569,20.89894,7.636253,394.1585,2.788188,-,26.79319,238.1711,1.692853,11.46431,6.340957,4.73116,8.413481,2.507181,2.693675,5.637286,2.664644,0.375248,2.097357,16.1039,0.32384,-,9.100893,-,13.1764,-,20.7104,15.94509,207.6959,22.86191,-,81.39912,451.2242,16.87424,30.75126,51.21521,-,1.383804,-,-,-,12.86311,1035.385,1.586853,4.695505,5.587493,12.34836,22.65789
Plate 1,mgh3_dual_16,Dual,16,K7,89,,Standard Curve Group 1,134.3419,17.85203,8.476401,328.7095,2.756025,-,22.60647,100.2815,1.163538,11.18346,5.186086,3.51451,6.113301,3.18248,2.181156,2.67391,2.712646,-,1.835894,6.483359,0.241611,-,6.115312,-,12.57936,-,19.78065,11.83136,168.7009,18.46029,-,67.03821,460.1857,14.45094,28.31812,48.10195,-,0.765609,-,-,-,13.79534,960.3207,1.327691,4.024686,6.693928,12.51161,23.85882
Plate 1,mgh3_dual_16,Dual,16,K8,90,,Standard Curve Group 1,121.2904,17.32593,6.181519,357.48,2.340292,-,19.55844,115.8231,1.48721,10.70662,5.445877,3.471307,6.497699,2.781353,1.972899,1.434494,2.26391,0.377869,1.822748,3.929653,0.297709,-,6.54926,-,-,-,19.27203,12.94323,153.04,-,-,60.10055,410.098,12.20378,28.31442,36.40018,-,0.778399,-,-,-,12.01853,934.2202,1.456931,3.424939,4.602498,10.78354,20.02839
Plate 1,mgh3_dual_16,Dual,16,K9,91,,Standard Curve Group 1,-,15.32539,5.708547,327.4618,2.267163,-,17.39753,41.63341,1.06729,9.802319,4.558817,2.566331,5.58833,-,1.894101,1.67641,1.911018,-,1.384185,1.920899,0.234409,-,6.962537,-,-,-,18.22786,11.27842,155.9538,-,-,52.94108,345.0837,12.22657,28.51379,32.93598,-,0.834764,-,-,-,10.47668,821.3568,1.13253,3.100266,4.579652,10.73071,19.47236
Plate 1,mgh3_dual_19,Dual,19,L1,95,,Standard Curve Group 1,270.6657,27.92713,11.05929,420.5941,3.632321,-,37.57673,182.1898,2.363128,14.69707,9.213108,3.858666,9.522092,4.402561,2.98798,15.55733,3.429041,0.363024,2.97034,11.6542,0.374449,-,11.51276,14.57265,23.77652,18.13401,22.08616,16.3293,212.0357,26.12617,2.091305,106.9972,590.6383,19.95305,31.62256,53.99609,-,1.325728,-,-,-,30.14195,1221.133,1.995899,4.674545,8.15388,13.86663,34.69809
Plate 1,mgh3_dual_19,Dual,19,L2,96,,Standard Curve Group 1,292.8717,20.95192,8.771011,341.2767,3.789334,62.34622,25.77033,265.5961,1.111583,9.264283,6.216495,6.56414,11.793,8.086884,1.544859,2.085526,2.379908,0.775021,2.947771,4.575058,0.250136,-,8.93077,-,25.54505,-,22.58455,14.20042,186.2284,23.89276,2.362418,72.55535,391.1495,8.586288,33.30486,29.60869,-,1.295038,-,-,-,15.97814,1051.015,0.883083,5.481373,5.561382,17.02847,42.78498
Plate 1,mgh3_dual_19,Dual,19,L3,97,,Standard Curve Group 1,182.4219,20.39102,13.16035,365.6731,3.032281,-,29.29448,170.1672,1.697599,11.00694,7.524526,3.780505,5.267217,4.460168,2.840606,6.139282,2.760072,0.829201,2.458056,10.51915,0.114498,11.74256,8.228199,-,17.7281,-,21.50714,15.96662,203.8846,26.54934,2.037172,78.86783,558.6425,16.25042,30.69079,47.71453,-,1.214293,-,-,-,18.12511,1089.161,1.53769,4.527028,6.951396,11.46379,25.98663
Plate 1,mgh3_dual_21,Dual,21,L7,101,,Standard Curve Group 1,124.7518,18.26528,9.367828,335.076,2.538508,-,21.75369,112.4927,1.047053,10.43404,5.519651,3.028583,6.520127,-,1.895846,3.587037,2.188189,-,1.496368,6.158812,0.175494,-,6.341435,-,15.6992,-,18.5381,14.56405,167.6596,20.57211,-,64.0141,459.8905,13.90994,30.09256,48.94052,-,0.88473,-,-,-,11.05403,1027.348,1.082265,3.622243,6.325464,8.916059,20.68901
Plate 1,mgh3_dual_21,Dual,21,L8,102,,Standard Curve Group 1,111.1371,15.06062,5.508693,350.3284,2.34078,-,19.2157,72.01759,1.033329,7.751239,4.353074,4.552374,4.088156,3.481678,1.726908,1.353397,1.893536,-,1.406905,2.469871,0.138864,-,5.978099,-,-,-,20.31072,10.79421,160.9595,-,-,51.04624,414.2022,13.3628,28.96741,39.13832,-,0.891068,-,-,-,11.20859,850.2512,1.353983,3.140601,4.53945,7.193246,19.80347
Plate 1,mgh3_dual_21,Dual,21,L9,103,,Standard Curve Group 1,185.8621,15.207,11.36885,334.8462,2.48298,-,17.27659,88.74867,1.065755,8.322491,4.327939,2.693233,4.397594,-,1.53316,1.634427,2.004282,0.478823,1.675192,4.02979,0.215567,-,-,-,-,-,19.29385,12.00631,155.1503,17.43459,-,48.77453,426.0424,12.19992,28.23131,37.10293,-,0.858188,-,-,-,9.367358,864.5221,1.39193,2.923795,3.239465,8.748631,21.1664
Plate 1,mgh3_dual_23,Dual,23,M1,107,,Standard Curve Group 1,177.0286,23.25427,10.61938,373.6341,2.856524,64.59988,32.61369,160.8561,2.167986,10.81698,8.068968,3.792492,7.541078,4.217252,3.135744,8.426905,2.731809,1.250492,2.499056,8.752079,0.42927,11.03884,10.33979,11.59342,20.65325,17.69484,22.17033,14.72299,248.6889,25.76503,2.515396,78.37304,559.596,19.94214,30.00535,52.01801,-,1.751511,-,-,-,20.4549,1154.731,1.397345,5.537054,7.411833,15.22855,25.14093
Plate 1,mgh3_dual_23,Dual,23,M2,108,,Standard Curve Group 1,281.0357,22.90632,11.14227,392.6,3.163668,-,40.06969,80.10107,1.660149,13.46408,7.088275,5.018904,8.255199,4.282708,3.331903,8.013184,3.435426,0.833362,2.287394,5.853557,0.356637,11.29505,10.20274,-,19.09429,18.11565,22.96221,15.63055,270.8398,24.05603,-,85.71468,593.6394,18.40118,32.17176,49.866,-,1.301501,-,-,-,16.0263,1075.101,1.606506,5.187316,9.126123,14.89257,22.87228
Plate 1,mgh3_dual_23,Dual,23,M3,109,,Standard Curve Group 1,214.8592,20.85665,8.469497,389.8502,2.593385,59.28284,27.14792,195.0031,1.449786,11.02295,6.680987,3.242916,6.324799,4.283824,2.510603,3.563205,2.871606,-,1.713265,6.175412,0.451492,-,6.473437,-,15.52181,-,19.50392,14.36218,216.2359,-,1.883664,65.42959,481.4245,16.53853,29.36908,49.07758,-,1.166812,-,-,-,14.08491,1029.329,1.21934,4.491385,6.922938,12.75857,26.09436
Plate 1,mgh3_dual_26,Dual,26,M7,113,,Standard Curve Group 1,-,21.21194,5.24585,379.6208,2.388,-,23.03185,182.3398,1.058502,7.517977,6.153243,8.031467,5.327701,2.665174,2.91239,6.213382,2.207536,-,1.918028,15.07303,0.497027,-,8.114192,-,12.7354,-,17.61569,12.03213,185.5504,23.3973,-,87.72408,489.7675,15.57926,29.70069,48.60221,-,1.365909,-,-,-,15.16176,971.2803,0.927233,3.497989,6.213143,13.19345,17.60295
Plate 1,mgh3_dual_26,Dual,26,M8,114,,Standard Curve Group 1,-,19.17702,5.882026,328.3505,2.348328,-,18.53199,170.3945,1.107135,7.783508,4.550859,5.447971,5.352397,2.743859,1.807455,5.70009,2.482274,0.526895,1.750731,14.15402,-,-,6.109222,-,14.37531,-,19.73329,10.64035,180.5139,-,-,70.94421,403.6071,13.69399,27.77,33.01871,-,0.924602,-,-,-,15.34676,941.7823,1.095827,3.064424,4.671813,8.578192,23.10388
Plate 1,mgh3_dual_26,Dual,26,M9,115,,Standard Curve Group 1,150.0009,19.52795,10.74054,351.5543,2.564149,-,18.77547,155.2235,1.532269,8.036893,5.703912,3.375585,4.708179,2.951182,2.160742,7.382961,2.384164,-,1.897254,11.46447,0.19043,-,-,-,14.51046,-,21.26845,11.27903,179.5078,21.63805,-,71.90575,394.161,14.78705,27.60639,37.62994,-,1.237854,-,-,-,13.39375,885.0586,1.208759,3.528359,4.714391,10.71868,24.64482
Plate 1,mgh3_dual_28,Dual,28,N2,120,,Standard Curve Group 1,230.1621,21.15283,9.745687,403.0095,2.112138,95.21149,35.4984,132.6622,2.222587,12.39671,6.85891,3.335299,4.622896,3.130576,3.427177,15.10638,2.556573,0.678841,2.035999,12.01878,0.285891,-,7.813,12.20004,29.63346,-,22.8167,16.74619,198.5376,34.18208,-,89.28585,490.6832,16.0936,28.54193,45.45275,-,1.502952,-,-,-,14.48068,1246.231,2.041777,4.542644,4.416975,13.20151,29.99044
Plate 1,mgh3_dual_28,Dual,28,N3,121,,Standard Curve Group 1,188.3556,24.81499,13.5254,391.9982,3.200843,55.32417,29.17717,303.4683,1.635002,10.93118,8.221897,3.547864,7.916219,3.617696,2.981783,10.69493,3.074459,0.641049,3.448853,30.9319,0.21928,-,8.309141,-,20.65722,-,22.10583,17.90631,238.1566,24.26912,-,118.604,602.7103,18.09823,32.0155,49.92944,-,1.550412,-,-,-,22.96133,1145.609,1.642753,5.639833,8.441329,15.3678,31.28036
Plate 1,mgh3_dual_28,Dual,28,N4,122,,Standard Curve Group 1,-,22.9202,14.66906,377.616,3.189636,47.5734,23.07587,612.8763,-,10.77459,6.521572,1.745666,10.23808,5.234148,3.373634,11.04819,2.404719,-,1.915625,12.02142,0.2714,11.39598,9.694748,-,-,-,17.59696,13.39041,259.6333,45.75471,-,75.57377,344.1883,18.03734,27.48023,36.46062,-,0.929553,-,-,-,16.18709,993.878,0.760973,3.36755,10.58324,17.75557,-
Plate 1,mgh3_dual_30,Dual,30,N8,126,,Standard Curve Group 1,195.4059,19.86126,8.882654,333.516,2.365903,-,18.2207,187.6433,1.407263,6.453046,5.516963,3.13753,6.146312,2.625135,2.137695,5.648575,2.427696,0.638221,1.839475,10.18644,0.300124,-,6.651905,-,-,-,19.88817,13.7645,180.9064,-,-,68.57002,403.6173,14.56473,28.95343,43.10305,-,1.150985,-,-,-,15.72853,900.4903,1.165131,3.447847,6.013229,11.53291,30.33526
Plate 1,mgh3_dual_30,Dual,30,N9,127,,Standard Curve Group 1,142.2712,19.4376,8.783101,351.2007,2.662575,-,19.0173,127.4836,0.943755,4.853141,5.667487,2.770259,4.053848,2.6394,2.000738,6.073996,2.300424,-,1.691069,11.60404,-,-,5.39967,-,-,-,18.65057,12.12924,166.1433,-,-,63.54629,379.863,16.84611,27.52754,42.52125,-,1.001163,-,-,-,11.34529,931.7463,1.10401,3.62199,4.858658,10.06258,29.18323
Plate 1,mgh3_dual_30,Dual,30,N10,128,,Standard Curve Group 1,115.0164,19.22235,8.867829,345.8855,2.205228,-,17.68809,174.8859,1.286157,8.204683,6.18864,3.367492,6.870111,-,2.234218,7.504482,2.344383,-,1.817576,15.47789,0.181312,-,6.198213,-,14.5706,-,19.05876,11.14155,166.1172,-,-,80.20197,462.5231,13.30669,28.54216,40.84412,-,1.171769,-,-,-,14.41173,935.4885,1.329374,3.477976,5.949782,11.47856,26.68251
Plate 1,mgh3_dual_33,Dual,33,O1,131,,Standard Curve Group 1,212.4767,26.37574,9.847945,428.2785,3.059555,-,29.49151,232.8195,1.182813,12.62383,8.693955,4.455506,5.364421,3.682201,2.087722,16.52725,3.273617,0.415402,2.607455,18.9458,0.46981,-,10.24548,-,21.4556,17.87839,22.33056,16.42018,217.1904,26.65736,-,80.31377,543.4901,16.10026,30.75036,59.24395,-,1.60495,-,-,-,17.40034,1144.618,1.9375,5.094502,10.69148,14.31262,23.36233
Plate 1,mgh3_dual_33,Dual,33,O2,132,,Standard Curve Group 1,206.6812,21.75609,-,335.5586,1.13271,-,45.50027,210.2687,2.1782,9.271187,6.992518,4.218951,6.563398,5.12764,1.819888,30.04869,3.168985,-,2.589698,13.89528,0.137326,12.45507,9.203917,-,-,-,19.83022,9.111075,101.8717,-,-,65.22193,679.6919,14.89451,28.85687,48.19966,-,1.953221,-,-,-,10.2573,1021.304,2.144297,2.886385,7.929801,27.07255,42.09102
Plate 1,mgh3_dual_33,Dual,33,O3,133,,Standard Curve Group 1,188.7073,24.26336,9.008025,381.6778,2.382796,75.42809,26.59497,415.511,2.461996,12.20063,5.583569,3.591559,6.324203,4.958809,2.068777,8.601874,2.981624,-,1.976371,42.3597,0.52801,10.87347,6.681733,-,-,-,23.4859,13.08956,224.9204,20.2192,-,73.15508,519.3221,16.92362,27.82724,46.18179,-,1.283586,-,-,-,14.35472,1073.055,1.152165,3.9807,6.239983,14.44862,32.29326
Plate 1,uci_msc_03,MSC,3,A16,218,,Standard Curve Group 1,139.2155,17.1345,6.929713,324.284,2.292015,-,16.7305,106.7374,1.297809,11.35286,3.956844,2.759406,3.732676,-,1.941013,3.590919,2.019049,-,1.849184,6.793981,-,-,-,-,-,-,18.61688,11.5321,160.5373,-,-,49.29607,451.5481,12.6801,28.71741,39.24864,-,0.77409,-,-,-,6.969696,905.1789,1.229667,3.600917,4.552513,9.818479,15.89376
Plate 1,uci_msc_03,MSC,3,A17,219,,Standard Curve Group 1,110.7357,15.50205,8.924429,345.2074,1.901666,-,15.60837,119.5937,0.982756,6.655107,3.890016,1.881717,4.492127,2.626634,1.7709,1.288848,1.939076,-,2.369066,3.828473,0.198969,-,5.120019,-,-,-,19.16102,11.17838,174.6565,-,-,44.18133,365.4889,12.67783,30.09278,29.05693,-,0.675093,-,-,-,8.896078,849.5033,0.75332,2.755223,5.73686,8.096321,20.63773
Plate 1,uci_msc_03,MSC,3,A18,220,,Standard Curve Group 1,-,15.27552,7.528585,333.5019,1.909293,54.76852,15.07632,55.29721,1.271803,9.919721,3.629855,2.413618,3.893274,-,1.868907,2.035022,2.014994,-,2.374945,3.029223,0.158674,-,5.729342,-,-,-,17.90451,11.86047,159.0584,18.55444,-,48.24961,369.8265,13.47431,28.4539,34.70527,-,0.877724,-,-,-,11.52419,958.1049,1.088938,3.671464,6.821091,9.806841,16.93825
Plate 1,uci_msc_06,MSC,6,A22,224,,Standard Curve Group 1,-,16.79412,6.200715,313.3496,2.248108,-,14.42717,197.4648,1.30314,9.335595,3.740293,2.184107,4.23896,-,1.860937,5.161843,2.260842,-,1.699271,15.10535,0.257262,-,-,-,-,-,18.25818,12.99939,180.0695,18.53346,-,49.68204,431.0877,15.5043,27.20457,37.64068,-,0.926087,-,-,-,13.28588,939.9482,1.225958,3.141681,6.0999,10.58515,17.08739
Plate 1,uci_msc_06,MSC,6,A23,225,,Standard Curve Group 1,-,15.94133,3.958085,336.7433,2.191472,-,14.22975,187.4211,1.225496,4.822787,4.227479,2.296951,4.167739,-,2.059973,2.75221,1.839831,-,1.344266,11.27419,0.237714,-,-,-,-,-,17.98779,11.69518,187.7109,-,-,61.55995,368.3526,12.58429,29.18053,38.54794,-,0.934283,-,-,-,13.66752,906.6402,1.429971,3.363727,6.594267,10.62957,16.2683
Plate 1,uci_msc_06,MSC,6,A24,226,,Standard Curve Group 1,144.5126,17.03545,7.076281,327.3342,2.104337,-,15.31515,36.09299,1.179969,7.425855,4.149577,2.387111,3.65293,2.867679,1.766453,3.387152,2.040639,-,1.570846,3.480688,0.183486,-,5.25108,-,-,-,19.10863,10.47254,164.9566,-,-,51.612,411.0077,13.23904,27.31671,37.05067,-,1.150099,-,-,-,10.77832,948.1209,1.224378,3.056637,5.499856,10.31013,-
Plate 1,uci_msc_08,MSC,8,B16,230,,Standard Curve Group 1,134.831,12.2232,5.852279,336.7533,2.866743,-,16.4338,80.36487,-,4.854234,3.824046,4.86667,4.035918,-,1.904294,3.445813,2.259752,-,1.401727,5.55527,0.492592,-,-,-,-,-,19.20593,11.02265,152.9393,-,-,52.04104,320.3744,10.97073,27.05439,34.15702,-,0.82605,-,-,-,7.299548,897.342,1.730413,3.302708,6.989297,9.368783,19.63188
Plate 1,uci_msc_08,MSC,8,B17,231,,Standard Curve Group 1,-,15.27696,-,325.5355,2.095244,-,16.34961,156.5552,0.921907,7.091227,4.089818,2.519899,4.660759,-,1.742321,2.175949,1.489628,-,1.323081,5.687063,0.183838,-,-,-,-,-,18.0289,9.013911,184.643,-,-,44.97214,388.9158,11.61279,26.68671,29.62125,-,0.786876,-,-,-,11.80905,822.9616,1.019395,2.537698,4.306686,10.18841,15.50712
Plate 1,uci_msc_08,MSC,8,B18,232,,Standard Curve Group 1,115.6788,13.19034,4.492695,309.0888,2.405182,-,14.7316,211.9246,1.048114,6.823143,3.263913,2.382556,3.278878,-,1.715322,1.863566,1.757252,0.445528,1.265459,14.91832,0.181678,-,-,-,-,-,17.06057,8.701884,126.8132,-,-,49.2492,321.76,10.82044,27.22128,34.37584,-,0.896458,-,-,-,11.15357,856.9411,1.064425,2.67372,4.072548,5.688033,13.36832
Plate 1,uci_msc_10,MSC,10,B22,236,,Standard Curve Group 1,-,11.90282,-,237.1535,0.721023,-,-,-,-,2.991368,-,-,-,-,-,-,7.028508,-,-,-,0.171653,-,-,-,-,-,15.14092,3.729996,-,-,-,-,-,-,20.14985,-,-,-,-,-,-,-,-,-,-,4.138026,-,-
Plate 1,uci_msc_10,MSC,10,B23,237,,Standard Curve Group 1,-,15.47492,5.265774,317.3787,2.149549,-,16.14262,278.6533,0.883563,7.382283,3.834447,2.134793,5.29674,2.950694,2.056042,2.248825,1.697446,-,0.793776,21.21174,-,-,6.484702,-,-,-,18.13731,11.23154,168.3084,-,-,65.66039,341.1586,13.74238,27.67488,35.4649,-,0.889994,-,-,-,14.846,952.1816,1.105545,3.158003,4.538633,9.137019,16.08238
Plate 1,uci_msc_10,MSC,10,B24,238,,Standard Curve Group 1,-,27.58425,-,230.5877,0.820516,-,-,-,-,3.66623,-,1.030404,-,-,-,-,19.01143,-,-,-,0.145837,-,-,-,-,-,15.96092,13.70614,29.72173,-,-,9.380519,-,10.09841,24.48371,26.14979,-,0.322871,-,-,-,-,59.69586,-,-,4.809649,2.35734,-
Plate 1,uci_msc_13,MSC,13,C16,242,,Standard Curve Group 1,138.0276,15.1532,2.340784,320.5201,2.069067,-,18.00272,213.2095,1.167747,6.043477,3.976158,3.416893,5.101156,2.610556,1.870456,2.654544,1.616675,-,1.366947,9.396736,0.155312,-,-,-,-,-,17.8965,9.004245,150.2971,-,-,45.60926,317.3993,11.66623,29.38104,30.69096,-,0.743924,-,-,-,9.016231,760.8809,1.19735,2.951235,7.004511,8.693828,13.45115
